name,lat,lon
Acalanes Ridge,37.904725,-122.078567
Acampo,38.173529,-121.279892
Acton,34.49607,-118.183897
Adelanto,34.580902,-117.439458
Adin,41.199312,-120.956779
Agoura Hills,34.148942,-118.76393
Agua Dulce,34.501678,-118.32068
Aguanga,33.452246,-116.85547
Ahwahnee,37.365423,-119.716561
Airport,37.633883,-120.972006
Alameda,37.741911,-122.259914
Alamo,37.854768,-122.013557
Albany,37.89065,-122.318116
Albion,39.225327,-123.757586
Alderpoint,40.161347,-123.615729
Alhambra,34.083571,-118.136444
Alhambra Valley,37.966744,-122.135998
Aliso Viejo,33.57921,-117.728898
Alleghany,39.46666,-120.841126
Allendale,38.442986,-121.98333
Allensworth,35.849878,-119.389209
Almanor,40.214494,-121.17622
Alondra Park,33.890155,-118.335678
Alpaugh,35.889037,-119.485809
Alpine,32.842487,-116.755911
Alpine Village,38.779346,-119.807785
Alta,39.215685,-120.798509
Alta Sierra,35.725776,-118.545166
Alta Sierra,39.126174,-121.049085
Altadena,34.192212,-118.135589
Alto,37.905581,-122.518718
Alturas,41.489136,-120.551286
Alum Rock,37.369408,-121.823809
Amador City,38.418994,-120.823263
Amador Pines,38.489631,-120.533305
American Canyon,38.179033,-122.259602
Amesti,36.959483,-121.781739
Anaheim,33.855502,-117.758657
Anchor Bay,38.812653,-123.570267
Anderson,40.449755,-122.29507
Angels,38.071037,-120.551729
Angwin,38.577875,-122.451224
Antelope,38.71533,-121.360962
Antioch,37.978336,-121.796064
Anza,33.56159,-116.696066
Apple Valley,34.533376,-117.210358
Aptos,36.99115,-121.893457
Aptos Hills-Larkin Valley,36.963492,-121.835214
Arbuckle,39.014185,-122.061041
Arcadia,34.132689,-118.036347
Arcata,40.862291,-124.074967
Arden-Arcade,38.600647,-121.384643
Armona,36.316607,-119.70538
Arnold,38.249049,-120.349327
Aromas,36.874755,-121.630732
Arroyo Grande,35.124149,-120.584533
Artesia,33.867591,-118.080634
Artois,39.633179,-122.189758
Arvin,35.194361,-118.830569
Ashland,37.694197,-122.115937
Aspen Springs,37.548791,-118.699663
Atascadero,35.485718,-120.687942
Atherton,37.457072,-122.201058
Atwater,37.354049,-120.597177
Auberry,37.088654,-119.450757
Auburn,38.895075,-121.076739
Auburn Lake Trails,38.886238,-120.979699
August,37.979644,-121.26251
Avalon,33.343335,-118.317615
Avenal,36.031107,-120.116174
Avery,38.206826,-120.372262
Avila Beach,35.199355,-120.720757
Avocado Heights,34.039039,-117.998167
Azusa,34.138524,-117.912253
Baker,35.276918,-116.071735
Bakersfield,35.353171,-119.037919
Bakersfield Country Club,35.389891,-118.940915
Baldwin Park,34.082824,-117.971286
Ballard,34.639948,-120.110989
Ballico,37.451917,-120.703707
Bangor,39.376087,-121.411654
Banning,33.945903,-116.899044
Barstow,34.866987,-117.043035
Bass Lake,37.327282,-119.565326
Bay Point,38.032254,-121.962236
Bayview,38.006234,-122.320165
Bayview,40.76536,-124.178624
Baywood Park,37.529163,-122.341637
Beale AFB,39.108061,-121.351215
Bear Creek,37.296601,-120.417676
Bear Valley,37.57474,-120.136098
Bear Valley,38.472321,-120.051847
Bear Valley Springs,35.178355,-118.669618
Beaumont,33.876722,-116.953009
Beckwourth,39.843931,-120.414009
Belden,40.006783,-121.248191
Bell,33.979704,-118.179249
Bell Canyon,34.208148,-118.687574
Bell Gardens,33.964379,-118.154437
Bella Vista,40.651205,-122.25637
Bellflower,33.887821,-118.12725
Belmont,37.514398,-122.294475
Belvedere,37.873567,-122.470995
Ben Lomond,37.078212,-122.088102
Benbow,40.060267,-123.765381
Bend,40.255092,-122.210916
Benicia,38.072733,-122.155169
Benton,37.822438,-118.487687
Benton Park,35.346439,-119.029815
Berkeley,37.865673,-122.298725
Bermuda Dunes,33.74349,-116.287335
Berry Creek,39.631812,-121.405621
Bertsch-Oceanview,41.751727,-124.170214
Bethel Island,38.02813,-121.629851
Beverly Hills,34.07923,-118.402437
Bieber,41.138451,-121.117006
Big Bear City,34.254118,-116.796378
Big Bear Lake,34.242888,-116.893893
Big Bend,41.011624,-121.930434
Big Creek,37.203565,-119.248489
Big Lagoon,41.159427,-124.129746
Big Pine,37.165507,-118.296262
Big River,34.139823,-114.362099
Biggs,39.410187,-121.713322
Biola,36.799938,-120.021038
Bishop,37.366381,-118.395808
Black Point-Green Point,38.110651,-122.519097
Blackhawk,37.809629,-121.913241
Blacklake,35.049689,-120.538642
Blairsden,39.775205,-120.610845
Bloomfield,38.322069,-122.834464
Bloomington,34.060071,-117.401238
Blue Lake,40.880993,-123.994912
Bluewater,34.175431,-114.264962
Blythe,33.65352,-114.621823
Bodega,38.348841,-122.971164
Bodega Bay,38.327472,-123.029926
Bodfish,35.573416,-118.486441
Bolinas,37.917725,-122.709502
Bombay Beach,33.35561,-115.726902
Bonadelle Ranchos,36.968806,-119.892779
Bonita,32.673217,-117.006101
Bonny Doon,37.043577,-122.136972
Bonsall,33.274876,-117.191863
Boonville,39.011474,-123.374043
Bootjack,37.474044,-119.8838
Boron,35.01978,-117.665938
Boronda,36.694632,-121.674512
Borrego Springs,33.240965,-116.357119
Bostonia,32.818985,-116.942264
Boulder Creek,37.134099,-122.127208
Boulevard,32.664022,-116.289601
Bowles,36.608873,-119.752564
Boyes Hot Springs,38.312633,-122.488738
Bradbury,34.153159,-117.968818
Bradley,35.86284,-120.804268
Brawley,32.978454,-115.528569
Brea,33.925178,-117.865111
Brentwood,37.935578,-121.71897
Bret Harte,37.602078,-121.00438
Bridgeport,38.25521,-119.210424
Brisbane,37.67575,-122.383302
Broadmoor,37.691495,-122.481339
Brookdale,37.105732,-122.110623
Brooks,38.73688,-122.146807
Brooktrails,39.443283,-123.3938
Buck Meadows,37.807046,-120.075237
Buckhorn,38.454797,-120.532334
Bucks Lake,39.87956,-121.199081
Buellton,34.615497,-120.194237
Buena Park,33.857353,-118.007373
Buena Vista,38.297487,-120.917402
Burbank,34.190079,-118.326405
Burbank,37.321084,-121.930618
Burlingame,37.589952,-122.363342
Burney,40.889362,-121.675465
Burnt Ranch,40.811335,-123.508261
Butte Creek Canyon,39.744502,-121.707131
Butte Meadows,40.08531,-121.542683
Butte Valley,39.668815,-121.645888
Buttonwillow,35.409229,-119.440668
Byron,37.875644,-121.64212
Bystrom,37.61939,-120.981254
C-Road,39.762728,-120.577051
Cabazon,33.912726,-116.782831
Calabasas,34.134252,-118.666455
Calexico,32.684859,-115.494738
California City,35.14659,-117.869346
California Hot Springs,35.887568,-118.655022
California Pines,41.413786,-120.66531
California Polytechnic State University,35.306981,-120.667276
Calimesa,33.987357,-117.054214
Calipatria,33.168651,-115.485641
Calistoga,38.581408,-122.582696
Callender,35.047972,-120.575908
Calpella,39.233721,-123.19376
Calpine,39.663381,-120.439277
Calwa,36.713477,-119.76086
Camanche North Shore,38.244218,-120.953915
Camanche Village,38.266481,-120.986575
Camarillo,34.221823,-119.032154
Cambria,35.552069,-121.084137
Cambrian Park,37.256059,-121.928778
Cameron Park,38.674029,-120.988338
Camino,38.742265,-120.680811
Camino Tassajara,37.790886,-121.885052
Camp Nelson,36.141978,-118.61071
Camp Pendleton Mainside,33.307209,-117.331048
Camp Pendleton South,33.231824,-117.391998
Campbell,37.280244,-121.953296
Campo,32.640965,-116.474516
Campo Seco,38.220743,-120.859054
Camptonville,39.452072,-121.048668
Canby,41.452293,-120.888319
Cantua Creek,36.500045,-120.316361
Canyon Lake,33.688302,-117.263547
Canyondam,40.169867,-121.076986
Capitola,36.976083,-121.954012
Caribou,40.073244,-121.16567
Carlsbad,33.129284,-117.284183
Carmel Valley Village,36.500627,-121.73182
Carmel-by-the-Sea,36.552881,-121.921919
Carmet,38.374452,-123.071859
Carmichael,38.630812,-121.325636
Carnelian Bay,39.235165,-120.078207
Carpinteria,34.385234,-119.500759
Carrick,41.446746,-122.363457
Carson,33.840367,-118.249574
Carson City,39.1638,-119.7674
Cartago,36.305239,-118.027166
Caruthers,36.539907,-119.845027
Casa Conejo,34.184731,-118.944517
Casa Loma,35.34323,-118.998711
Casa de Oro-Mount Helix,32.763961,-116.968808
Casmalia,34.837799,-120.531044
Caspar,39.363063,-123.804194
Cassel,40.925021,-121.548476
Castaic,34.477444,-118.632681
Castella,41.177248,-122.287241
Castle Hill,37.874718,-122.058582
Castro Valley,37.708276,-122.062769
Castroville,36.76484,-121.753376
Cathedral City,33.835487,-116.463103
Catheys Valley,37.427706,-120.096038
Cayucos,35.439581,-120.889828
Cazadero,38.527831,-123.109799
Cedar Flat,39.206907,-120.094902
Cedar Ridge,38.065736,-120.273869
Cedar Slope,36.145464,-118.578881
Cedarville,41.528683,-120.174433
Centerville,36.736117,-119.496006
Centerville,40.542902,-122.464505
Ceres,37.598786,-120.968081
